"drug_name","medical_condition","side_effects","generic_name","drug_classes","brand_names","activity","rx_otc","pregnancy_category","csa","alcohol","related_drugs","medical_condition_description","rating","no_of_reviews","drug_link","medical_condition_url"
"doxycycline","Acne","(hives, difficult breathing, swelling in your face or throat) or a severe skin reaction (fever, sore throat, burning in your eyes, skin pain, red or purple skin rash that spreads and causes blistering and peeling). Seek medical treatment if you have a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This reaction may occur several weeks after you began using doxycycline. Doxycycline may cause serious side effects. Call your doctor at once if you have: severe stomach pain, diarrhea that is watery or bloody; throat irritation, trouble swallowing; chest pain, irregular heart rhythm, feeling short of breath; little or no urination; low white blood cell counts - fever, chills, swollen glands, body aches, weakness, pale skin, easy bruising or bleeding; severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes; loss of appetite, upper stomach pain (that may spread to your back), tiredness, nausea or vomiting, fast heart rate, dark urine, jaundice (yellowing of the skin or eyes). Common side effects of doxycycline may include: nausea and vomiting; upset stomach; loss of appetite; mild diarrhea; skin rash or itching; darkened skin color; vaginal itching or discharge.","doxycycline","Miscellaneous antimalarials, Tetracyclines","Acticlate, Adoxa CK, Adoxa Pak, Adoxa TT, Alodox, Avidoxy, Doryx, Mondoxyne NL, Monodox, Morgidox, Okebo, Oracea, Oraxyl, Periostat Targadox, Vibramycin calcium, Vibramycin Hyclate, Vibramycin monohydrate, Vibra-Tabs","87%","Rx","D","N","X","amoxicillin: https://www.drugs.com/amoxicillin.html | prednisone: https://www.drugs.com/prednisone.html | albuterol: https://www.drugs.com/albuterol.html | ciprofloxacin: https://www.drugs.com/ciprofloxacin.html | azithromycin: https://www.drugs.com/azithromycin.html | cephalexin: https://www.drugs.com/cephalexin.html | metronidazole: https://www.drugs.com/metronidazole.html | metronidazole topical: https://www.drugs.com/mtm/metronidazole-topical.html | clindamycin topical: https://www.drugs.com/mtm/clindamycin-topical.html | clindamycin: https://www.drugs.com/clindamycin.html","Acne Other names: Acne Vulgaris; Blackheads; Breakouts; Cystic acne; Pimples; Whiteheads; Zits Acne is a skin condition caused by dead skin cells sticking together and clogging up pores. Bacteria can play a role, too. A big trigger for the onset of acne is puberty. Better nutrition and living standards have seen the age of puberty, especially in girls, decrease significantly over the past 40 years. It is now not uncommon for girls as young as 7 to develop acne. Acne is also affecting more adults later in life and doctors are not sure why. A growing number of women have acne in their 30s, 40s, 50s, and beyond. What Causes Acne? Our body constantly makes and sheds skin. Normally, dead skin cells rise to the surface of the pore and just flake off our body. At puberty, hormones trigger the production of sebum - an oily substance that helps moisturize our skin. Sebum sticks dead skin cells together, increasing their chances of becoming trapped inside a pore. Clogged pores become blackheads, whiteheads or pimples. If bacteria are also present, redness and swelling can occur resulting in the progression of the pimple into a cyst or nodule. Who is More at Risk of Acne? Unfortunately, some people suffer from acne worse than others. Bad acne tends to run in families - your mother, father, aunt or uncle probably had severe breakouts when they were a teenager. Some people also have naturally higher hormone levels and make more sebum, so their skin pores are always clogging up. If you live in an area that gets very humid or have a job which exposes you to moist heat (such as in a food kitchen) or grease or tar (a mechanic or road worker) then you are more likely to get acne. Chin straps, headbands, and even hair products applied too close to the skin can precipitate a break out as several different medicines - most notably prednisone, phenytoin, and certain hormonal contraceptives that are high in androgens (for example, Microgestin 1.5/30 and the Depo-Provera shot). What are the Symptoms of Acne? Acne may appear on the face, forehead, chest, upper back or shoulders. The symptoms and severity of acne vary from person to person but may include: Whiteheads Blackheads Papules (small, red, tender bumps) Pimples (papules with pus at their tips) Nodules (large solid painful lumps beneath the skin surface Cystic lesions (painful pus-filled lumps beneath the skin’s surface). How is Acne Diagnosed? If your acne makes you shy or embarrassed, if you have a lot of acne, cysts or nodules on your face or back, or if over the counter products do not seem to work, see your doctor or a dermatologist as soon as you can. They can prescribe stronger topical or oral treatments that are much more effective than products you can buy at a drug store. Your doctor will look at your skin and ask about the history of your acne. It is a myth that you have to let acne run its course. Treatment helps prevent dark spots and permanent scars from forming as the acne clears. How is Acne Treated? The most important thing you can do to reduce the chance of breakouts is to take good care of your skin. This doesn't mean scrubbing it raw several times a day with soap. It means gently cleansing it with a mild soap-free wash twice a day, every day. If you play a lot of sport or work in a greasy or humid environment, cleanse your skin as soon as you finish training or right after work. Be gentle. You aim to cleanse away excess sebum and dead skin cells so they don't clog up your pores - not to irritate your skin even further. The first step to clear skin is clean skin. Look for a cleanser that is soap-free and does not contain any harsh detergents such as sodium lauryl or laureth sulfates, which can cause redness, irritation, and inflammation. Avoid pore-clogging ingredients as well, such as algae extract, carrageenan, lanolin, myristyl myristate, octyl palmitate, octyl stearate-5, and oleth-3. Anti-acne ingredients work by removing dead skin cells, unclogging pores, or reducing bacteria numbers on the skin. Acne treatments usually contain one of the following ingredients (some of which are only available on prescription): Benzoyl peroxide Salicyclic acid Resorcinol Azelaic acid Dapsone gel Retinoids and retinoid-like creams, gels, and lotions Topical antibiotics Oral antibiotics (eg, tetracyclines, Combined oral contraceptives Oral isotretinoin Spironolactone Lasers and photodynamic therapy Chemical peels Steroid injections. If you have severe acne you need to be very proactive with skin cleansing and using acne treatment. Seeing a dermatologist early on for prescription products lessens the chances of being left with permanent scars. How Can I Prevent Acne? Gently wash your face twice a day and after sweating. Shampoo your hair regularly. Do not pick or squeeze your acne; this increases the risk of scars. Keep your hands off your face. Wash your hands before applying make-up. Be careful what you put on your face, and avoid ingredients that promote acne. Stay out of the sun and off tanning beds; excess tanning can damage your skin. See a dermatologist if you feel shy or products don't work.","6.8","760.0","https://www.drugs.com/doxycycline.html","https://www.drugs.com/condition/acne.html"
"spironolactone","Acne","hives ; difficulty breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: a light-headed feeling, like you might pass out; little or no urination; high potassium level - nausea , weakness, tingly feeling, chest pain, irregular heartbeats, loss of movement; o signs of other electrolyte imbalances - increased thirst or urination, confusion, vomiting , muscle pain, slurred speech, severe weakness, numbness , loss of coordination, feeling unsteady. Common spironolactone side effects may include: breast swelling or tenderness.","spironolactone","Aldosterone receptor antagonists, Potassium-sparing diuretics","Aldactone, CaroSpir","82%","Rx","C","N","X","amlodipine: https://www.drugs.com/amlodipine.html | lisinopril: https://www.drugs.com/lisinopril.html | losartan: https://www.drugs.com/losartan.html | metoprolol: https://www.drugs.com/metoprolol.html | furosemide: https://www.drugs.com/furosemide.html | hydrochlorothiazide: https://www.drugs.com/hctz.html | carvedilol: https://www.drugs.com/carvedilol.html | warfarin: https://www.drugs.com/warfarin.html | Lasix: https://www.drugs.com/lasix.html | bumetanide: https://www.drugs.com/mtm/bumetanide-oral-injection.html","Acne Other names: Acne Vulgaris; Blackheads; Breakouts; Cystic acne; Pimples; Whiteheads; Zits Acne is a skin condition caused by dead skin cells sticking together and clogging up pores. Bacteria can play a role, too. A big trigger for the onset of acne is puberty. Better nutrition and living standards have seen the age of puberty, especially in girls, decrease significantly over the past 40 years. It is now not uncommon for girls as young as 7 to develop acne. Acne is also affecting more adults later in life and doctors are not sure why. A growing number of women have acne in their 30s, 40s, 50s, and beyond. What Causes Acne? Our body constantly makes and sheds skin. Normally, dead skin cells rise to the surface of the pore and just flake off our body. At puberty, hormones trigger the production of sebum - an oily substance that helps moisturize our skin. Sebum sticks dead skin cells together, increasing their chances of becoming trapped inside a pore. Clogged pores become blackheads, whiteheads or pimples. If bacteria are also present, redness and swelling can occur resulting in the progression of the pimple into a cyst or nodule. Who is More at Risk of Acne? Unfortunately, some people suffer from acne worse than others. Bad acne tends to run in families - your mother, father, aunt or uncle probably had severe breakouts when they were a teenager. Some people also have naturally higher hormone levels and make more sebum, so their skin pores are always clogging up. If you live in an area that gets very humid or have a job which exposes you to moist heat (such as in a food kitchen) or grease or tar (a mechanic or road worker) then you are more likely to get acne. Chin straps, headbands, and even hair products applied too close to the skin can precipitate a break out as several different medicines - most notably prednisone, phenytoin, and certain hormonal contraceptives that are high in androgens (for example, Microgestin 1.5/30 and the Depo-Provera shot). What are the Symptoms of Acne? Acne may appear on the face, forehead, chest, upper back or shoulders. The symptoms and severity of acne vary from person to person but may include: Whiteheads Blackheads Papules (small, red, tender bumps) Pimples (papules with pus at their tips) Nodules (large solid painful lumps beneath the skin surface Cystic lesions (painful pus-filled lumps beneath the skin’s surface). How is Acne Diagnosed? If your acne makes you shy or embarrassed, if you have a lot of acne, cysts or nodules on your face or back, or if over the counter products do not seem to work, see your doctor or a dermatologist as soon as you can. They can prescribe stronger topical or oral treatments that are much more effective than products you can buy at a drug store. Your doctor will look at your skin and ask about the history of your acne. It is a myth that you have to let acne run its course. Treatment helps prevent dark spots and permanent scars from forming as the acne clears. How is Acne Treated? The most important thing you can do to reduce the chance of breakouts is to take good care of your skin. This doesn't mean scrubbing it raw several times a day with soap. It means gently cleansing it with a mild soap-free wash twice a day, every day. If you play a lot of sport or work in a greasy or humid environment, cleanse your skin as soon as you finish training or right after work. Be gentle. You aim to cleanse away excess sebum and dead skin cells so they don't clog up your pores - not to irritate your skin even further. The first step to clear skin is clean skin. Look for a cleanser that is soap-free and does not contain any harsh detergents such as sodium lauryl or laureth sulfates, which can cause redness, irritation, and inflammation. Avoid pore-clogging ingredients as well, such as algae extract, carrageenan, lanolin, myristyl myristate, octyl palmitate, octyl stearate-5, and oleth-3. Anti-acne ingredients work by removing dead skin cells, unclogging pores, or reducing bacteria numbers on the skin. Acne treatments usually contain one of the following ingredients (some of which are only available on prescription): Benzoyl peroxide Salicyclic acid Resorcinol Azelaic acid Dapsone gel Retinoids and retinoid-like creams, gels, and lotions Topical antibiotics Oral antibiotics (eg, tetracyclines, Combined oral contraceptives Oral isotretinoin Spironolactone Lasers and photodynamic therapy Chemical peels Steroid injections. If you have severe acne you need to be very proactive with skin cleansing and using acne treatment. Seeing a dermatologist early on for prescription products lessens the chances of being left with permanent scars. How Can I Prevent Acne? Gently wash your face twice a day and after sweating. Shampoo your hair regularly. Do not pick or squeeze your acne; this increases the risk of scars. Keep your hands off your face. Wash your hands before applying make-up. Be careful what you put on your face, and avoid ingredients that promote acne. Stay out of the sun and off tanning beds; excess tanning can damage your skin. See a dermatologist if you feel shy or products don't work.","7.2","449.0","https://www.drugs.com/spironolactone.html","https://www.drugs.com/condition/acne.html"
"minocycline","Acne","skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This may be more likely with long-term use of minocycline, and the reaction may occur several weeks after you began using this medicine. Call your doctor at once if you have: little or no urination, swelling in your feet or ankles, feeling tired or short of breath (signs of kidney problems); loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, loss of appetite, easy bruising or bleeding, dark urine, yellowing of the skin or eyes (signs of liver or pancreas problems); joint pain or swelling with fever, swollen glands, muscle aches, chest pain, vomiting, unusual thoughts or behavior, and patchy skin color; severe headaches, ringing in your ears, dizziness, vision problems, pain behind your eyes; or swollen glands, flu symptoms, easy bruising or bleeding, severe tingling or numbness, muscle weakness, chest pain, new or worsening cough with fever, trouble breathing. Common minocycline side effects may include: numbness , tingling, burning pain; hair loss ; discoloration of you skin or nails. dizziness, spinning sensation; muscle or joint pain; nausea, diarrhea, loss of appetite; swollen tongue, cough, trouble swallowing; rash, itching; or headache .","minocycline","Tetracyclines","Dynacin, Minocin, Minolira, Solodyn, Ximino, Vectrin, Myrac","48%","Rx","D","N","","amoxicillin: https://www.drugs.com/amoxicillin.html | prednisone: https://www.drugs.com/prednisone.html | doxycycline: https://www.drugs.com/doxycycline.html | ciprofloxacin: https://www.drugs.com/ciprofloxacin.html | azithromycin: https://www.drugs.com/azithromycin.html | cephalexin: https://www.drugs.com/cephalexin.html | metronidazole: https://www.drugs.com/metronidazole.html | clindamycin topical: https://www.drugs.com/mtm/clindamycin-topical.html | Augmentin: https://www.drugs.com/augmentin.html | dexamethasone: https://www.drugs.com/dexamethasone.html","Acne Other names: Acne Vulgaris; Blackheads; Breakouts; Cystic acne; Pimples; Whiteheads; Zits Acne is a skin condition caused by dead skin cells sticking together and clogging up pores. Bacteria can play a role, too. A big trigger for the onset of acne is puberty. Better nutrition and living standards have seen the age of puberty, especially in girls, decrease significantly over the past 40 years. It is now not uncommon for girls as young as 7 to develop acne. Acne is also affecting more adults later in life and doctors are not sure why. A growing number of women have acne in their 30s, 40s, 50s, and beyond. What Causes Acne? Our body constantly makes and sheds skin. Normally, dead skin cells rise to the surface of the pore and just flake off our body. At puberty, hormones trigger the production of sebum - an oily substance that helps moisturize our skin. Sebum sticks dead skin cells together, increasing their chances of becoming trapped inside a pore. Clogged pores become blackheads, whiteheads or pimples. If bacteria are also present, redness and swelling can occur resulting in the progression of the pimple into a cyst or nodule. Who is More at Risk of Acne? Unfortunately, some people suffer from acne worse than others. Bad acne tends to run in families - your mother, father, aunt or uncle probably had severe breakouts when they were a teenager. Some people also have naturally higher hormone levels and make more sebum, so their skin pores are always clogging up. If you live in an area that gets very humid or have a job which exposes you to moist heat (such as in a food kitchen) or grease or tar (a mechanic or road worker) then you are more likely to get acne. Chin straps, headbands, and even hair products applied too close to the skin can precipitate a break out as several different medicines - most notably prednisone, phenytoin, and certain hormonal contraceptives that are high in androgens (for example, Microgestin 1.5/30 and the Depo-Provera shot). What are the Symptoms of Acne? Acne may appear on the face, forehead, chest, upper back or shoulders. The symptoms and severity of acne vary from person to person but may include: Whiteheads Blackheads Papules (small, red, tender bumps) Pimples (papules with pus at their tips) Nodules (large solid painful lumps beneath the skin surface Cystic lesions (painful pus-filled lumps beneath the skin’s surface). How is Acne Diagnosed? If your acne makes you shy or embarrassed, if you have a lot of acne, cysts or nodules on your face or back, or if over the counter products do not seem to work, see your doctor or a dermatologist as soon as you can. They can prescribe stronger topical or oral treatments that are much more effective than products you can buy at a drug store. Your doctor will look at your skin and ask about the history of your acne. It is a myth that you have to let acne run its course. Treatment helps prevent dark spots and permanent scars from forming as the acne clears. How is Acne Treated? The most important thing you can do to reduce the chance of breakouts is to take good care of your skin. This doesn't mean scrubbing it raw several times a day with soap. It means gently cleansing it with a mild soap-free wash twice a day, every day. If you play a lot of sport or work in a greasy or humid environment, cleanse your skin as soon as you finish training or right after work. Be gentle. You aim to cleanse away excess sebum and dead skin cells so they don't clog up your pores - not to irritate your skin even further. The first step to clear skin is clean skin. Look for a cleanser that is soap-free and does not contain any harsh detergents such as sodium lauryl or laureth sulfates, which can cause redness, irritation, and inflammation. Avoid pore-clogging ingredients as well, such as algae extract, carrageenan, lanolin, myristyl myristate, octyl palmitate, octyl stearate-5, and oleth-3. Anti-acne ingredients work by removing dead skin cells, unclogging pores, or reducing bacteria numbers on the skin. Acne treatments usually contain one of the following ingredients (some of which are only available on prescription): Benzoyl peroxide Salicyclic acid Resorcinol Azelaic acid Dapsone gel Retinoids and retinoid-like creams, gels, and lotions Topical antibiotics Oral antibiotics (eg, tetracyclines, Combined oral contraceptives Oral isotretinoin Spironolactone Lasers and photodynamic therapy Chemical peels Steroid injections. If you have severe acne you need to be very proactive with skin cleansing and using acne treatment. Seeing a dermatologist early on for prescription products lessens the chances of being left with permanent scars. How Can I Prevent Acne? Gently wash your face twice a day and after sweating. Shampoo your hair regularly. Do not pick or squeeze your acne; this increases the risk of scars. Keep your hands off your face. Wash your hands before applying make-up. Be careful what you put on your face, and avoid ingredients that promote acne. Stay out of the sun and off tanning beds; excess tanning can damage your skin. See a dermatologist if you feel shy or products don't work.","5.7","482.0","https://www.drugs.com/minocycline.html","https://www.drugs.com/condition/acne.html"
"Accutane","Acne","problems with your vision or hearing; muscle or joint pain, bone pain, back pain; increased thirst, increased urination; hallucinations, (see or hearing things that are not real); symptoms of depression - unusual mood changes, crying spells, feelings of low self-worth, loss of interest in things you once enjoyed, new sleep problems, thoughts about hurting yourself; signs of liver or pancreas problems - loss of appetite, upper stomach pain (that may spread to your back), nausea or vomiting, fast heart rate , dark urine, jaundice (yellowing of the skin or eyes); severe stomach problems - severe stomach or chest pain, pain when swallowing, heartburn , diarrhea , rectal bleeding , bloody or tarry stools; or increased pressure inside the skull - severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes. Common Accutane side effects may include: dryness of your skin, lips, eyes, or nose (you may have nosebleeds ); vision problems; headache, back pain , joint pain, muscle problems; skin reactions; or cold symptoms such as stuffy nose, sneezing, sore throat.","isotretinoin (oral)","Miscellaneous antineoplastics, Miscellaneous uncategorized agents","","41%","Rx","X","N","X","doxycycline: https://www.drugs.com/doxycycline.html | clindamycin topical: https://www.drugs.com/mtm/clindamycin-topical.html | erythromycin topical: https://www.drugs.com/mtm/erythromycin-topical.html | tetracycline: https://www.drugs.com/tetracycline.html | Tazorac: https://www.drugs.com/tazorac.html","Acne Other names: Acne Vulgaris; Blackheads; Breakouts; Cystic acne; Pimples; Whiteheads; Zits Acne is a skin condition caused by dead skin cells sticking together and clogging up pores. Bacteria can play a role, too. A big trigger for the onset of acne is puberty. Better nutrition and living standards have seen the age of puberty, especially in girls, decrease significantly over the past 40 years. It is now not uncommon for girls as young as 7 to develop acne. Acne is also affecting more adults later in life and doctors are not sure why. A growing number of women have acne in their 30s, 40s, 50s, and beyond. What Causes Acne? Our body constantly makes and sheds skin. Normally, dead skin cells rise to the surface of the pore and just flake off our body. At puberty, hormones trigger the production of sebum - an oily substance that helps moisturize our skin. Sebum sticks dead skin cells together, increasing their chances of becoming trapped inside a pore. Clogged pores become blackheads, whiteheads or pimples. If bacteria are also present, redness and swelling can occur resulting in the progression of the pimple into a cyst or nodule. Who is More at Risk of Acne? Unfortunately, some people suffer from acne worse than others. Bad acne tends to run in families - your mother, father, aunt or uncle probably had severe breakouts when they were a teenager. Some people also have naturally higher hormone levels and make more sebum, so their skin pores are always clogging up. If you live in an area that gets very humid or have a job which exposes you to moist heat (such as in a food kitchen) or grease or tar (a mechanic or road worker) then you are more likely to get acne. Chin straps, headbands, and even hair products applied too close to the skin can precipitate a break out as several different medicines - most notably prednisone, phenytoin, and certain hormonal contraceptives that are high in androgens (for example, Microgestin 1.5/30 and the Depo-Provera shot). What are the Symptoms of Acne? Acne may appear on the face, forehead, chest, upper back or shoulders. The symptoms and severity of acne vary from person to person but may include: Whiteheads Blackheads Papules (small, red, tender bumps) Pimples (papules with pus at their tips) Nodules (large solid painful lumps beneath the skin surface Cystic lesions (painful pus-filled lumps beneath the skin’s surface). How is Acne Diagnosed? If your acne makes you shy or embarrassed, if you have a lot of acne, cysts or nodules on your face or back, or if over the counter products do not seem to work, see your doctor or a dermatologist as soon as you can. They can prescribe stronger topical or oral treatments that are much more effective than products you can buy at a drug store. Your doctor will look at your skin and ask about the history of your acne. It is a myth that you have to let acne run its course. Treatment helps prevent dark spots and permanent scars from forming as the acne clears. How is Acne Treated? The most important thing you can do to reduce the chance of breakouts is to take good care of your skin. This doesn't mean scrubbing it raw several times a day with soap. It means gently cleansing it with a mild soap-free wash twice a day, every day. If you play a lot of sport or work in a greasy or humid environment, cleanse your skin as soon as you finish training or right after work. Be gentle. You aim to cleanse away excess sebum and dead skin cells so they don't clog up your pores - not to irritate your skin even further. The first step to clear skin is clean skin. Look for a cleanser that is soap-free and does not contain any harsh detergents such as sodium lauryl or laureth sulfates, which can cause redness, irritation, and inflammation. Avoid pore-clogging ingredients as well, such as algae extract, carrageenan, lanolin, myristyl myristate, octyl palmitate, octyl stearate-5, and oleth-3. Anti-acne ingredients work by removing dead skin cells, unclogging pores, or reducing bacteria numbers on the skin. Acne treatments usually contain one of the following ingredients (some of which are only available on prescription): Benzoyl peroxide Salicyclic acid Resorcinol Azelaic acid Dapsone gel Retinoids and retinoid-like creams, gels, and lotions Topical antibiotics Oral antibiotics (eg, tetracyclines, Combined oral contraceptives Oral isotretinoin Spironolactone Lasers and photodynamic therapy Chemical peels Steroid injections. If you have severe acne you need to be very proactive with skin cleansing and using acne treatment. Seeing a dermatologist early on for prescription products lessens the chances of being left with permanent scars. How Can I Prevent Acne? Gently wash your face twice a day and after sweating. Shampoo your hair regularly. Do not pick or squeeze your acne; this increases the risk of scars. Keep your hands off your face. Wash your hands before applying make-up. Be careful what you put on your face, and avoid ingredients that promote acne. Stay out of the sun and off tanning beds; excess tanning can damage your skin. See a dermatologist if you feel shy or products don't work.","7.9","623.0","https://www.drugs.com/accutane.html","https://www.drugs.com/condition/acne.html"
"clindamycin","Acne","hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Clindamycin topical may cause serious side effects. Stop using clindamycin topical and call your doctor at once if you have: severe redness, itching, or dryness of treated skin areas; or severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose). Common side effects of clindamycin topical may include: burning, itching, dryness, peeling or redness of treated skin; or oily skin.","clindamycin topical","Topical acne agents, Vaginal anti-infectives","Cleocin T, Clindacin ETZ, Clindacin P, Clindagel, Evoclin","39%","Rx","B","N","","doxycycline: https://www.drugs.com/doxycycline.html | metronidazole: https://www.drugs.com/metronidazole.html | metronidazole topical: https://www.drugs.com/mtm/metronidazole-topical.html | clindamycin: https://www.drugs.com/clindamycin.html | erythromycin topical: https://www.drugs.com/mtm/erythromycin-topical.html | tetracycline: https://www.drugs.com/tetracycline.html | isotretinoin: https://www.drugs.com/mtm/isotretinoin.html | tinidazole: https://www.drugs.com/mtm/tinidazole.html | Cleocin: https://www.drugs.com/cleocin.html | MetroGel: https://www.drugs.com/mtm/metrogel.html","Acne Other names: Acne Vulgaris; Blackheads; Breakouts; Cystic acne; Pimples; Whiteheads; Zits Acne is a skin condition caused by dead skin cells sticking together and clogging up pores. Bacteria can play a role, too. A big trigger for the onset of acne is puberty. Better nutrition and living standards have seen the age of puberty, especially in girls, decrease significantly over the past 40 years. It is now not uncommon for girls as young as 7 to develop acne. Acne is also affecting more adults later in life and doctors are not sure why. A growing number of women have acne in their 30s, 40s, 50s, and beyond. What Causes Acne? Our body constantly makes and sheds skin. Normally, dead skin cells rise to the surface of the pore and just flake off our body. At puberty, hormones trigger the production of sebum - an oily substance that helps moisturize our skin. Sebum sticks dead skin cells together, increasing their chances of becoming trapped inside a pore. Clogged pores become blackheads, whiteheads or pimples. If bacteria are also present, redness and swelling can occur resulting in the progression of the pimple into a cyst or nodule. Who is More at Risk of Acne? Unfortunately, some people suffer from acne worse than others. Bad acne tends to run in families - your mother, father, aunt or uncle probably had severe breakouts when they were a teenager. Some people also have naturally higher hormone levels and make more sebum, so their skin pores are always clogging up. If you live in an area that gets very humid or have a job which exposes you to moist heat (such as in a food kitchen) or grease or tar (a mechanic or road worker) then you are more likely to get acne. Chin straps, headbands, and even hair products applied too close to the skin can precipitate a break out as several different medicines - most notably prednisone, phenytoin, and certain hormonal contraceptives that are high in androgens (for example, Microgestin 1.5/30 and the Depo-Provera shot). What are the Symptoms of Acne? Acne may appear on the face, forehead, chest, upper back or shoulders. The symptoms and severity of acne vary from person to person but may include: Whiteheads Blackheads Papules (small, red, tender bumps) Pimples (papules with pus at their tips) Nodules (large solid painful lumps beneath the skin surface Cystic lesions (painful pus-filled lumps beneath the skin’s surface). How is Acne Diagnosed? If your acne makes you shy or embarrassed, if you have a lot of acne, cysts or nodules on your face or back, or if over the counter products do not seem to work, see your doctor or a dermatologist as soon as you can. They can prescribe stronger topical or oral treatments that are much more effective than products you can buy at a drug store. Your doctor will look at your skin and ask about the history of your acne. It is a myth that you have to let acne run its course. Treatment helps prevent dark spots and permanent scars from forming as the acne clears. How is Acne Treated? The most important thing you can do to reduce the chance of breakouts is to take good care of your skin. This doesn't mean scrubbing it raw several times a day with soap. It means gently cleansing it with a mild soap-free wash twice a day, every day. If you play a lot of sport or work in a greasy or humid environment, cleanse your skin as soon as you finish training or right after work. Be gentle. You aim to cleanse away excess sebum and dead skin cells so they don't clog up your pores - not to irritate your skin even further. The first step to clear skin is clean skin. Look for a cleanser that is soap-free and does not contain any harsh detergents such as sodium lauryl or laureth sulfates, which can cause redness, irritation, and inflammation. Avoid pore-clogging ingredients as well, such as algae extract, carrageenan, lanolin, myristyl myristate, octyl palmitate, octyl stearate-5, and oleth-3. Anti-acne ingredients work by removing dead skin cells, unclogging pores, or reducing bacteria numbers on the skin. Acne treatments usually contain one of the following ingredients (some of which are only available on prescription): Benzoyl peroxide Salicyclic acid Resorcinol Azelaic acid Dapsone gel Retinoids and retinoid-like creams, gels, and lotions Topical antibiotics Oral antibiotics (eg, tetracyclines, Combined oral contraceptives Oral isotretinoin Spironolactone Lasers and photodynamic therapy Chemical peels Steroid injections. If you have severe acne you need to be very proactive with skin cleansing and using acne treatment. Seeing a dermatologist early on for prescription products lessens the chances of being left with permanent scars. How Can I Prevent Acne? Gently wash your face twice a day and after sweating. Shampoo your hair regularly. Do not pick or squeeze your acne; this increases the risk of scars. Keep your hands off your face. Wash your hands before applying make-up. Be careful what you put on your face, and avoid ingredients that promote acne. Stay out of the sun and off tanning beds; excess tanning can damage your skin. See a dermatologist if you feel shy or products don't work.","7.4","146.0","https://www.drugs.com/mtm/clindamycin-topical.html","https://www.drugs.com/condition/acne.html"
